Year,County,Hospital,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Longitude,Latitude
2020,Kern,Bakersfield Heart Hospital,1,34,5.6,As Expected,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,,,,,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,0,32,0,As Expected,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,,,,,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,0,13,0,As Expected,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,2,69,4.7,As Expected,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,11,317,3.2,As Expected,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,,,,,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,7,231,3.8,As Expected,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,,,,,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,8,191,4.7,As Expected,-119.043,35.38619
2020,Kern,Bakersfield Heart Hospital,2,72,3.046482,As Expected,-119.04,35.39
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,0,5,0,As Expected,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2018,Kern,Adventist Health Tehachapi Valley,0,14,0,As Expected,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,0,3,0,As Expected,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,0,31,0,As Expected,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,0,3,0,As Expected,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2019,Kern,Adventist Health Tehachapi Valley,0,39,0,As Expected,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,0,4,0,As Expected,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,0,6,0,As Expected,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,0,4,0,As Expected,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,0,5,0,As Expected,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,0,33,0,As Expected,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,,,,,-118.449,35.14302
2020,Kern,Adventist Health Tehachapi Valley,1,40,3.3,As Expected,-118.449,35.14302
2016,Kings,Adventist Health Hanford,4,141,2.5,Better,-119.668,36.32562
2016,Kings,Adventist Health Hanford,7,163,10.1,As Expected,-119.668,36.32562
2016,Kings,Adventist Health Hanford,1,4,25.7,As Expected,-119.668,36.32562
2016,Kings,Adventist Health Hanford,6,159,5.5,As Expected,-119.668,36.32562
2016,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2016,Kings,Adventist Health Hanford,0,7,0,As Expected,-119.668,36.32562
2016,Kings,Adventist Health Hanford,2,189,1.1,As Expected,-119.668,36.32562
2016,Kings,Adventist Health Hanford,21,441,5,Worse,-119.668,36.32562
2016,Kings,Adventist Health Hanford,2,92,2.5,As Expected,-119.668,36.32562
2016,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2016,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2016,Kings,Adventist Health Hanford,14,364,5,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,12,162,4.7,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,11,157,14.3,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,4,7,48.9,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,6,149,6.6,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2017,Kings,Adventist Health Hanford,0,5,0,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,1,144,1,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,12,463,3.1,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,5,112,5.2,As Expected,-119.668,36.32562
2017,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2017,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2017,Kings,Adventist Health Hanford,5,312,1.6,As Expected,-119.668,36.32562
2018,Kings,Adventist Health Hanford,9,157,4.3,As Expected,-119.668,36.32562
2018,Kings,Adventist Health Hanford,11,154,12.6,As Expected,-119.668,36.32562
2018,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2018,Kings,Adventist Health Hanford,9,151,6.9,As Expected,-119.668,36.32562
2018,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2018,Kings,Adventist Health Hanford,0,12,0,As Expected,-119.668,36.32562
2018,Kings,Adventist Health Hanford,1,141,0.8,As Expected,-119.668,36.32562
2018,Kings,Adventist Health Hanford,16,402,3.5,As Expected,-119.668,36.32562
2018,Kings,Adventist Health Hanford,1,78,1.6,As Expected,-119.668,36.32562
2018,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2018,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2018,Kings,Adventist Health Hanford,11,336,3.1,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2019,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2019,Kings,Adventist Health Hanford,4,124,3.6,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,8,209,6.7,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,0,4,0,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,8,202,4.2,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,0,3,0,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,0,3,0,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,2,130,2.4,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,18,462,4.2,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,0,99,0,As Expected,-119.668,36.32562
2019,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2019,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2019,Kings,Adventist Health Hanford,9,250,3.7,As Expected,-119.668,36.32562
2020,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2020,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2020,Kings,Adventist Health Hanford,8,89,11.4,As Expected,-119.668,36.32562
2020,Kings,Adventist Health Hanford,10,185,11.7,As Expected,-119.668,36.32562
2020,Kings,Adventist Health Hanford,3,6,47.3,As Expected,-119.668,36.32562
2020,Kings,Adventist Health Hanford,7,179,5.6,As Expected,-119.668,36.32562
2020,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2020,Kings,Adventist Health Hanford,0,6,0,As Expected,-119.668,36.32562
2020,Kings,Adventist Health Hanford,4,115,3.1,As Expected,-119.668,36.32562
2020,Kings,Adventist Health Hanford,17,407,4,As Expected,-119.668,36.32562
2020,Kings,Adventist Health Hanford,4,83,5.8,Worse,-119.668,36.32562
2020,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2020,Kings,Adventist Health Hanford,,,,,-119.668,36.32562
2020,Kings,Adventist Health Hanford,22,394,8.2,As Expected,-119.668,36.32562
2016,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,1,6,11.2,As Expected,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,0,5,0,As Expected,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,0,28,0,As Expected,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,1,78,2.8,As Expected,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2016,Lake,Adventist Health Clearlake,2,70,5.9,As Expected,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,0,22,0,As Expected,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,4,83,4.9,As Expected,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2017,Lake,Adventist Health Clearlake,0,61,0,As Expected,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,0,3,0,As Expected,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,1,9,6.8,As Expected,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,0,7,0,As Expected,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,1,17,15.8,As Expected,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,3,87,3.5,As Expected,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2018,Lake,Adventist Health Clearlake,1,93,1.2,As Expected,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,1,3,14,As Expected,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,0,20,0,As Expected,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,0,20,0,As Expected,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,0,9,0,As Expected,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,3,76,7.4,As Expected,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2019,Lake,Adventist Health Clearlake,5,89,11.2,Worse,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,1,18,17.7,As Expected,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,1,18,10,As Expected,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,1,16,8,As Expected,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,1,78,2.1,As Expected,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,,,,,-122.62,38.93619
2020,Lake,Adventist Health Clearlake,4,110,6.1,As Expected,-122.62,38.93619
2016,Lake,Sutter Lakeside Hospital,0,3,0,As Expected,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,0,34,0,As Expected,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,0,32,0,As Expected,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,0,35,0,As Expected,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,0,58,0,As Expected,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,1,29,6.3,As Expected,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2016,Lake,Sutter Lakeside Hospital,2,58,5.2,As Expected,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,0,4,0,As Expected,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,0,37,0,As Expected,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,0,37,0,As Expected,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,1,22,7.1,As Expected,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,0,51,0,As Expected,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,0,30,0,As Expected,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2017,Lake,Sutter Lakeside Hospital,0,29,0,As Expected,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,0,3,0,As Expected,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,0,35,0,As Expected,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,0,35,0,As Expected,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,0,29,0,As Expected,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,0,69,0,As Expected,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,0,33,0,As Expected,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2018,Lake,Sutter Lakeside Hospital,0,41,0,As Expected,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,0,9,0,As Expected,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,0,26,0,As Expected,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,0,24,0,As Expected,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,0,40,0,As Expected,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,0,94,0,As Expected,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,1,34,8.1,As Expected,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2019,Lake,Sutter Lakeside Hospital,1,58,2,As Expected,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,0,3,0,As Expected,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,0,5,0,As Expected,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,0,5,0,As Expected,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,0,35,0,As Expected,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,0,82,0,As Expected,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,1,34,2.8,As Expected,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,,,,,-122.91,39.10232
2020,Lake,Sutter Lakeside Hospital,1,76,1.7,As Expected,-122.91,39.10232
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,0,10,0,As Expected,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,0,20,0,As Expected,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2016,Lassen,Banner Lassen Medical Center,1,44,4.4,As Expected,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,2,3,17.2,As Expected,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,0,9,0,As Expected,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,1,20,5.6,As Expected,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2017,Lassen,Banner Lassen Medical Center,1,38,2.6,As Expected,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,1,5,6.4,As Expected,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,0,14,0,As Expected,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,1,25,6.8,As Expected,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2018,Lassen,Banner Lassen Medical Center,1,39,2.4,As Expected,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,0,6,0,As Expected,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,0,6,0,As Expected,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,1,10,43.3,As Expected,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,7,42,24.6,Worse,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2019,Lassen,Banner Lassen Medical Center,1,41,4,As Expected,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,1,3,14.8,As Expected,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,0,4,0,As Expected,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,0,4,0,As Expected,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,0,12,0,As Expected,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,0,24,0,As Expected,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,0,5,0,As Expected,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,,,,,-120.646,40.42306
2020,Lassen,Banner Lassen Medical Center,3,52,15.4,As Expected,-120.646,40.42306
2016,Los Angeles,Alhambra Hospital Medical Center,3,35,3.7,As Expected,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,1,78,3.3,As Expected,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,0,14,0,As Expected,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,1,63,2.8,As Expected,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,0,152,0,As Expected,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,5,220,2.2,As Expected,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,1,36,4,As Expected,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2016,Los Angeles,Alhambra Hospital Medical Center,7,215,3.1,As Expected,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,2,25,4.1,As Expected,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,1,68,3.2,As Expected,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,0,8,0,As Expected,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,1,59,2.9,As Expected,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,3,126,1.8,As Expected,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,6,232,2,As Expected,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,1,27,4.3,As Expected,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2017,Los Angeles,Alhambra Hospital Medical Center,4,164,1.6,As Expected,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,4,26,5,As Expected,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,1,83,1.2,Better,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,1,17,7.3,As Expected,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,0,63,0,Better,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,0,3,0,As Expected,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,0,111,0,Better,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,5,231,1.6,As Expected,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,1,32,5,As Expected,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2018,Los Angeles,Alhambra Hospital Medical Center,5,247,1.6,As Expected,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,3,32,6.3,As Expected,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,2,63,3.6,As Expected,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,1,15,9.1,As Expected,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,1,46,2,As Expected,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,4,133,2.1,As Expected,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,3,168,2.1,As Expected,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,1,46,2,As Expected,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,,,,,-118.144,34.08988
2019,Los Angeles,Alhambra Hospital Medical Center,2,209,0.8,Better,-118.144,34.08988
